param,i1,i2,dist,model,
tmax,0,0.05,norm,tomgro,
tmin,0,0.05,norm,tomgro,
tmean,0,0.05,norm,tomgro,
rad,0,0.05,norm,tomgro,mmolPar
co2,0,0.05,norm,tomgro,
tmax,0,0.05,norm,simple,
tmin,0,0.05,norm,simple,
tmean,0,0.05,norm,simple,
rad,0,0.05,norm,simple,
co2,0,0.05,norm,simple,
tmax,0,0.05,norm,vanthoor,
tmin,0,0.05,norm,vanthoor,
tmean,0,0.05,norm,vanthoor,
rad,0,0.05,norm,vanthoor,mmolPar
co2,0,0.05,norm,vanthoor,
,,5,,z_tomgro,
,,1,,z_tomgro,
,,1,,z_tomgro,
,,15,,z_tomgro,
,,10,,z_tomgro,
,,1.2,,z_simple,
,,1.2,,z_simple,
,,1,,z_simple,
,,0.5,,z_simple,
,,10,,z_simple,
,,1,,z_vanthoor,
,,1,,z_vanthoor,
,,1,,z_vanthoor,
,,15,,z_vanthoor,
,,10,,z_vanthoor,
