co2,350,av_n01
f_solarMax,99,av_n01
harv_doy,363,av_n01
harv_y,1993,av_n01
in_solar,0.001,av_n01
plant_doy,250,av_n01
plant_y,1988,av_n01
co2,400,cps_n01
f_solarMax,nan,cps_n01
harv_d,4,cps_n01
harv_m,4,cps_n01
harv_y,2019,cps_n01
in_solar,0.001,cps_n01
plant_d,11,cps_n01
plant_m,1,cps_n01
plant_y,2019,cps_n01
co2,400,cps_n02
f_solarMax,nan,cps_n02
harv_d,4,cps_n02
harv_m,4,cps_n02
harv_y,2019,cps_n02
in_solar,0.001,cps_n02
plant_d,11,cps_n02
plant_m,1,cps_n02
plant_y,2019,cps_n02
co2,400,cps_n03
f_solarMax,nan,cps_n03
harv_d,28,cps_n03
harv_m,10,cps_n03
harv_y,2019,cps_n03
in_solar,0.001,cps_n03
plant_d,12,cps_n03
plant_m,7,cps_n03
plant_y,2019,cps_n03
co2,400,cps_n04
f_solarMax,nan,cps_n04
harv_d,28,cps_n04
harv_m,10,cps_n04
harv_y,2019,cps_n04
in_solar,0.001,cps_n04
plant_d,12,cps_n04
plant_m,7,cps_n04
plant_y,2019,cps_n04
co2,nan,cps_n05
f_solarMax,99,cps_n05
harv_d,12,cps_n05
harv_m,2,cps_n05
harv_y,2021,cps_n05
in_solar,0.001,cps_n05
plant_d,5,cps_n05
plant_m,11,cps_n05
plant_y,2020,cps_n05
co2,400,cps_n06
f_solarMax,nan,cps_n06
harv_d,12,cps_n06
harv_m,2,cps_n06
harv_y,2021,cps_n06
in_solar,0.001,cps_n06
plant_d,5,cps_n06
plant_m,11,cps_n06
plant_y,2020,cps_n06
co2,400,cps_n07
f_solarMax,0.93,cps_n07
harv_d,11,cps_n07
harv_m,6,cps_n07
harv_y,2021,cps_n07
in_solar,0.001,cps_n07
plant_d,9,cps_n07
plant_m,3,cps_n07
plant_y,2021,cps_n07
co2,400,cps_n08
f_solarMax,0.93,cps_n08
harv_d,11,cps_n08
harv_m,6,cps_n08
harv_y,2021,cps_n08
in_solar,0.001,cps_n08
plant_d,9,cps_n08
plant_m,3,cps_n08
plant_y,2021,cps_n08
co2,350,gnv_n01
f_solarMax,99,gnv_n01
harv_doy,226,gnv_n01
harv_y,1993,gnv_n01
in_solar,0.001,gnv_n01
plant_doy,181,gnv_n01
plant_y,1993,gnv_n01
co2,350,gnv_n02
f_solarMax,99,gnv_n02
harv_doy,226,gnv_n02
harv_y,1993,gnv_n02
in_solar,0.001,gnv_n02
plant_doy,181,gnv_n02
plant_y,1993,gnv_n02
co2,350,gnv_n03
f_solarMax,99,gnv_n03
harv_doy,226,gnv_n03
harv_y,1993,gnv_n03
in_solar,0.001,gnv_n03
plant_doy,181,gnv_n03
plant_y,1993,gnv_n03
co2,350,gnv_n04
f_solarMax,0.9,gnv_n04
harv_doy,231,gnv_n04
harv_y,1994,gnv_n04
in_solar,0.001,gnv_n04
plant_doy,151,gnv_n04
plant_y,1994,gnv_n04
co2,350,gnv_n05
f_solarMax,0.9,gnv_n05
harv_doy,231,gnv_n05
harv_y,1994,gnv_n05
in_solar,0.001,gnv_n05
plant_doy,151,gnv_n05
plant_y,1994,gnv_n05
co2,350,gnv_n06
f_solarMax,0.9,gnv_n06
harv_doy,231,gnv_n06
harv_y,1994,gnv_n06
in_solar,0.001,gnv_n06
plant_doy,151,gnv_n06
plant_y,1994,gnv_n06
co2,350,lc_n01
f_solarMax,99,lc_n01
harv_doy,138,lc_n01
harv_y,1989,lc_n01
in_solar,0.001,lc_n01
plant_doy,250,lc_n01
plant_y,1988,lc_n01
co2,350,fixed
f_solarMax,99,fixed
harv_doy,138,fixed
harv_y,1989,fixed
in_solar,0.001,fixed
plant_doy,250,fixed
plant_y,1988,fixed
co2,350,brd_n05
f_solarMax,99,brd_n05
harv_doy,160,brd_n05
harv_y,1994,brd_n05
in_solar,0.001,brd_n05
plant_doy,60,brd_n05
plant_y,1994,brd_n05
co2,350,gai_n11
f_solarMax,99,gai_n11
harv_doy,165,gai_n11
harv_y,1996,gai_n11
in_solar,0.001,gai_n11
plant_doy,74,gai_n11
plant_y,1996,gai_n11
