alpha_F,0.95,av,orig
beta,0.169,av,
delta,0.03,av,
DFmax,0.08,av,
E,0.75,av,
K,0.58,av,
K_F,5,av,
m,0.1,av,
N_b,16,av,
N_FF,19,av,
N_max,0.55,av,
p_1,2,av,
Q10,1.4,av,
Qe,0.08,av,
rm,0.016,av,
sl_N1,0.025,av,
sl_N2,0.05,av,
sl_R,0.0032,av,
T_crit,22,av,
tau1,0.07428,av,
tmaxPg,35,av,
tmin_fr_gr,8.5,av,
TQe,23,av,
TSlop,20.6,av,
V,0.2,av,
V_max,8,av,
alpha_F,0.8,gnvman,original
beta,0.169,gnvman,
delta,0.038,gnvman,
DFmax,0.08,gnvman,
E,0.75,gnvman,
K,0.58,gnvman,
K_F,5,gnvman,
m,0.1,gnvman,
N_b,16,gnvman,
N_FF,22,gnvman,
N_max,0.5,gnvman,
p_1,2,gnvman,
Q10,1.4,gnvman,
Qe,0.08,gnvman,
rm,0.016,gnvman,
sl_N1,0.025,gnvman,
sl_N2,0.05,gnvman,
sl_R,0.0032,gnvman,
T_crit,24.4,gnvman,
tau1,0.07428,gnvman,
tau2,0.05848,gnvman,
tmaxPg,35,gnvman,
tmin_fr_gr,8.5,gnvman,
TQe,23,gnvman,
TSlop,20.6,gnvman,
V,0.135,gnvman,
V_max,8,gnvman,
alpha_F,0.94999143,gnv,case0
beta,0.421133414,gnv,
delta,0.039035821,gnv,
DFmax,0.1,gnv,
E,0.75,gnv,
K,0.58,gnv,
K_F,7.948096156,gnv,
m,0.1,gnv,
N_b,17.88013116,gnv,
N_FF,24.34849754,gnv,
N_max,0.51464895,gnv,
p_1,2,gnv,
Q10,1.4,gnv,
Qe,0.06106519,gnv,
rm,0.016,gnv,
sl_N1,0.025,gnv,
sl_N2,0.05,gnv,
sl_R,0.0032,gnv,
T_crit,23.91473107,gnv,
tau1,0.07428,gnv,
tau2,0.05848,gnv,
tmaxPg,35,gnv,
tmin_fr_gr,8.5,gnv,
TQe,23,gnv,
TSlop,20.6,gnv,
V,0.135,gnv,
V_max,8,gnv,
alpha_F,0.8,gnvMod,orig
beta,0.169,gnvMod,
delta,0.038,gnvMod,
DFmax,0.08,gnvMod,
E,0.75,gnvMod,
