run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae
0,tomgro,enkf,1,gnvMod,cps,3,A,wf,wf_lat,100,case2,,0.000001,11,1,1,0,0.062191155,11
0,tomgro,enkf,1,gnvMod,cps,4,A,wf,wf_lat,100,case2,,0.000001,11,2,1,1,0.062191155,11
0,tomgro,ukf,1,gnvMod,cps,3,A,wf,wf_lat,NA,case1,,0.000001,11,3,1,1,0.062191155,11
0,tomgro,ukf,1,gnvMod,cps,4,A,wf,wf_lat,NA,case1,,0.000001,11,4,1,1,0.062191155,11
0,tomgro,pf,1,gnvMod,cps,3,A,wf,wf_lat,50000,case1,,0.000001,11,5,1,1,0.062191155,11
0,tomgro,pf,1,gnvMod,cps,4,A,wf,wf_lat,50000,case1,,0.000001,11,6,1,1,0.062191155,11
0,tomgro,enkf,1,gnvMod,cps,5,A,wf,wf_lat,100,case2,,0.000001,24,7,1,1,0.083996048,24
0,tomgro,enkf,1,gnvMod,cps,6,A,wf,wf_lat,100,case2,,0.000001,24,8,1,1,0.083996048,24
0,tomgro,ukf,1,gnvMod,cps,5,A,wf,wf_lat,NA,case1,,0.000001,24,9,1,1,0.083996048,24
0,tomgro,ukf,1,gnvMod,cps,6,A,wf,wf_lat,NA,case1,,0.000001,24,10,1,1,0.083996048,24
0,tomgro,pf,1,gnvMod,cps,5,A,wf,wf_lat,50000,case1,,0.000001,24,11,1,1,0.083996048,24
0,tomgro,pf,1,gnvMod,cps,6,A,wf,wf_lat,50000,case1,,0.000001,24,12,1,1,0.083996048,24
0,tomgro,enkf,1,gnvMod,cps,7,A,wf,wf_lat,100,case2,,0.000001,62,13,1,1,0.251752311,62
0,tomgro,enkf,1,gnvMod,cps,8,A,wf,wf_lat,100,case2,,0.000001,62,14,1,1,0.251752311,62
0,tomgro,ukf,1,gnvMod,cps,7,A,wf,wf_lat,NA,case1,,0.000001,62,15,1,1,0.251752311,62
0,tomgro,ukf,1,gnvMod,cps,8,A,wf,wf_lat,NA,case1,,0.000001,62,16,1,1,0.251752311,62
0,tomgro,pf,1,gnvMod,cps,7,A,wf,wf_lat,50000,case1,,0.000001,62,17,1,1,0.251752311,62
0,tomgro,pf,1,gnvMod,cps,8,A,wf,wf_lat,50000,case1,,0.000001,62,18,1,1,0.251752311,62
0,tomgro,enkf,1,gnvMod,cps,3,A,w,w_fm_full,100,case2,,0.000001,20,19,2,0,0.395089642,20
0,tomgro,enkf,1,gnvMod,cps,4,A,w,w_fm_full,100,case2,,0.000001,20,20,2,1,0.395089642,20
0,tomgro,ukf,1,gnvMod,cps,3,A,w,w_fm_full,NA,case1,,0.000001,20,21,2,1,0.395089642,20
0,tomgro,ukf,1,gnvMod,cps,4,A,w,w_fm_full,NA,case1,,0.000001,20,22,2,1,0.395089642,20
0,tomgro,pf,1,gnvMod,cps,3,A,w,w_fm_full,50000,case1,,0.000001,20,23,2,1,0.395089642,20
0,tomgro,pf,1,gnvMod,cps,4,A,w,w_fm_full,50000,case1,,0.000001,20,24,2,1,0.395089642,20
0,tomgro,enkf,1,gnvMod,cps,5,A,w,w_fm_full,100,case2,,0.000001,122,25,2,1,0.338876269,122
0,tomgro,enkf,1,gnvMod,cps,6,A,w,w_fm_full,100,case2,,0.000001,122,26,2,1,0.338876269,122
0,tomgro,ukf,1,gnvMod,cps,5,A,w,w_fm_full,NA,case1,,0.000001,122,27,2,1,0.338876269,122
