run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae,ref,comment2
0,tomgro,ukf,1,gnvIV,cps,1,A,wf,wf,,case1,,1.00E-05,0.81,500,1,0,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case0,,1.00E-05,0.81,501,1,1,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case1,,1.00E-05,0.81,502,1,2,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case2,,1.00E-05,0.81,503,1,3,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case3,,1.00E-05,0.81,504,1,4,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wf,wf,500,case1,,1.00E-05,0.81,505,1,5,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wf,wf,,case1,,1.00E-05,0.81,506,1,6,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case0,,1.00E-05,0.81,507,1,7,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case1,,1.00E-05,0.81,508,1,8,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case2,,1.00E-05,0.81,509,1,9,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case3,,1.00E-05,0.81,510,1,10,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wf,wf,500,case1,,1.00E-05,0.81,511,1,11,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wf,wf,,case1,,1.00E-05,0.81,512,1,12,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case0,,1.00E-05,0.81,513,1,13,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case1,,1.00E-05,0.81,514,1,14,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case2,,1.00E-05,0.81,515,1,15,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case3,,1.00E-05,0.81,516,1,16,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wf,wf,500,case1,,1.00E-05,0.81,517,1,17,"fixed errors, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wf,wf,,case1,,1.00E-05,0.81,518,1,18,"fixed errors, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case0,,1.00E-05,0.81,519,1,19,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case1,,1.00E-05,0.81,520,1,20,"fixed errors, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case2,,1.00E-05,0.81,521,1,21,"fixed errors, case controlled, 10%",,p3a,used
